-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 06/01/2024 through 07/01/2024 in LST
Location: Latitude  -7.679   Longitude 113.2538 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 96.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,T2M,RH2M,WS10M,WD10M
2024,6,1,0,0.0,426.62,27.65,86.65,3.46,150.4
2024,6,1,1,0.0,423.23,27.45,86.99,3.53,154.9
2024,6,1,2,0.0,417.35,27.28,87.26,3.61,160.4
2024,6,1,3,0.0,423.52,27.12,87.52,3.74,163.4
2024,6,1,4,0.0,423.25,27.03,87.67,3.81,165.1
2024,6,1,5,0.0,422.73,26.94,87.98,3.83,163.8
2024,6,1,6,6.05,422.38,26.92,87.99,3.8,160.8
2024,6,1,7,114.25,425.9,27.97,83.63,4.02,157.0
2024,6,1,8,334.92,421.92,28.91,78.06,4.19,150.4
2024,6,1,9,519.0,427.73,29.86,72.47,3.85,142.2
2024,6,1,10,672.88,435.2,30.82,67.46,3.36,131.9
2024,6,1,11,731.9,440.65,31.63,63.78,3.03,121.9
2024,6,1,12,769.6,441.9,32.18,61.55,2.83,114.7
2024,6,1,13,685.03,446.92,32.44,60.98,2.69,109.8
2024,6,1,14,615.55,438.8,32.37,62.93,2.53,107.0
2024,6,1,15,432.58,447.73,32.17,64.15,2.52,106.6
2024,6,1,16,255.23,446.1,31.79,64.99,2.59,106.6
2024,6,1,17,83.72,442.75,31.17,66.65,2.56,110.1
2024,6,1,18,0.0,433.55,29.97,74.35,2.37,118.5
2024,6,1,19,0.0,432.55,29.34,78.68,2.5,128.0
2024,6,1,20,0.0,426.55,28.91,81.67,2.64,136.7
2024,6,1,21,0.0,428.92,28.57,83.69,2.71,143.6
2024,6,1,22,0.0,427.95,28.32,85.0,2.76,150.3
2024,6,1,23,0.0,426.77,28.09,85.77,2.83,154.4
2024,6,2,0,0.0,426.0,27.89,86.34,2.88,157.5
2024,6,2,1,0.0,431.08,27.71,86.71,2.94,161.4
2024,6,2,2,0.0,432.45,27.54,86.86,3.05,164.0
